run_identifier,n_trial,n_planes,pair_quality,pair_completeness,f1*_score,f1_score,comparisons_fraction
0,1,3,0.009,0.619,0.019,1.0,0.022
0,1,4,0.008,0.603,0.015,1.0,0.027
0,1,5,0.013,0.54,0.026,1.0,0.014
0,1,6,0.013,0.508,0.026,1.0,0.013
0,1,7,0.012,0.444,0.024,1.0,0.012
0,1,8,0.024,0.476,0.045,1.0,0.007
0,1,9,0.023,0.429,0.044,1.0,0.006
0,1,10,0.032,0.413,0.059,1.0,0.004
0,1,11,0.022,0.397,0.042,1.0,0.006
0,1,12,0.022,0.444,0.042,1.0,0.007
0,1,13,0.033,0.413,0.061,1.0,0.004
0,1,14,0.04,0.444,0.073,1.0,0.004
0,1,15,0.024,0.429,0.046,1.0,0.006
0,1,16,0.02,0.381,0.039,1.0,0.006
0,1,17,0.038,0.397,0.07,1.0,0.003
0,1,18,0.032,0.397,0.059,1.0,0.004
0,1,19,0.041,0.397,0.075,1.0,0.003
0,1,20,0.03,0.381,0.056,1.0,0.004
0,1,21,0.027,0.397,0.051,1.0,0.005
0,1,22,0.045,0.381,0.08,1.0,0.003
0,1,23,0.047,0.397,0.083,1.0,0.003
0,1,24,0.029,0.397,0.054,1.0,0.005
0,1,25,0.044,0.397,0.079,1.0,0.003
0,1,26,0.046,0.381,0.083,1.0,0.003
0,1,27,0.045,0.349,0.08,1.0,0.003
0,1,28,0.038,0.349,0.069,1.0,0.003
0,1,29,0.043,0.349,0.077,1.0,0.003
0,1,30,0.046,0.349,0.082,1.0,0.003
0,1,31,0.045,0.365,0.08,1.0,0.003
0,1,32,0.05,0.365,0.088,1.0,0.002
0,1,33,0.047,0.349,0.083,1.0,0.002
0,1,34,0.045,0.365,0.08,1.0,0.003
0,1,35,0.052,0.381,0.091,1.0,0.002
0,1,36,0.044,0.349,0.078,1.0,0.003
0,1,37,0.05,0.349,0.087,1.0,0.002
0,1,38,0.053,0.365,0.092,1.0,0.002
0,1,39,0.05,0.349,0.087,1.0,0.002
0,1,40,0.045,0.349,0.08,1.0,0.003
0,1,41,0.048,0.349,0.084,1.0,0.002
0,1,42,0.043,0.365,0.077,1.0,0.003
0,1,43,0.049,0.349,0.085,1.0,0.002
0,1,44,0.051,0.349,0.089,1.0,0.002
0,1,45,0.05,0.349,0.087,1.0,0.002
0,1,46,0.051,0.349,0.089,1.0,0.002
0,1,47,0.053,0.365,0.092,1.0,0.002
0,4,3,0.003,0.889,0.006,1.0,0.103
0,4,4,0.003,0.746,0.005,1.0,0.095
0,4,5,0.004,0.73,0.008,1.0,0.06
0,4,6,0.004,0.698,0.008,1.0,0.055
0,4,7,0.006,0.683,0.011,1.0,0.04
