iter	Accuracy	Logloss
0	0.8427975428	0.6642242016
1	0.884743769	0.6388197717
2	0.893420196	0.6119952439
3	0.9062086316	0.5917788189
4	0.9124046744	0.5708957272
5	0.9167635413	0.5539796185
6	0.9242794396	0.5348497611
7	0.9321316944	0.5204027901
8	0.9364846604	0.506800565
9	0.9378074663	0.4911224831
10	0.9437556674	0.4756948196
11	0.9473641247	0.4632157128
12	0.9487085677	0.4520793357
13	0.9531087415	0.4422362003
14	0.954883957	0.4319826429
15	0.9586832131	0.4219225519
16	0.9642045756	0.409455661
17	0.9649038433	0.4004627045
18	0.968635238	0.3895299796
19	0.9695321889	0.381845558
20	0.9715011536	0.3740759804
21	0.9739667853	0.3665885494
22	0.9754735055	0.3597136576
23	0.9761019613	0.3528682807
24	0.9777099819	0.345121527
25	0.9795668278	0.3363089654
26	0.9811119045	0.3306578276
27	0.9809919176	0.3231179286
28	0.9818121557	0.3177065672
29	0.9823934035	0.312316567
30	0.9829185919	0.3076616634
31	0.9829038394	0.3036311941
32	0.9843338467	0.2971870595
33	0.9851796557	0.2907822179
34	0.986252653	0.284105758
35	0.9868466863	0.2790061318
36	0.9870532211	0.2750612334
37	0.9870876435	0.2712670783
38	0.9878272347	0.2663756778
39	0.9878252677	0.2626387626
40	0.9882678421	0.2582162647
41	0.9893860803	0.2519257643
42	0.9896781795	0.2461396434
43	0.9899545427	0.2420731168
44	0.9900076516	0.2382837692
45	0.9903086023	0.2346942363
46	0.9903253218	0.2315732268
47	0.9904846486	0.2275832679
48	0.9906164374	0.2239021039
49	0.9908524771	0.2204605432
50	0.9910422924	0.2167372653
51	0.9911544113	0.2133879643
52	0.9912625962	0.2097237922
53	0.9915851838	0.2057532193
54	0.9916855007	0.2023603508
55	0.9917002532	0.1994964554
56	0.9917268076	0.1964754844
57	0.9919225239	0.1932029966
58	0.9920208738	0.1905862043
59	0.9920582467	0.1876637126
60	0.9922687155	0.1844990892
61	0.9925313097	0.1806634724
62	0.9925421282	0.1783139807
63	0.9925195077	0.1760352509
64	0.9925401612	0.17358959
65	0.9928568478	0.1700544297
66	0.9928912703	0.1674515947
67	0.9928804518	0.1652154778
68	0.9928607818	0.1630047515
69	0.9929620822	0.1602167735
70	0.993123376	0.1572065489
71	0.9930555146	0.1546864038
72	0.9932148414	0.1519218802
73	0.9933682672	0.1491509697
74	0.9935226765	0.146832612
75	0.993572835	0.1446239679
76	0.993564967	0.1430530055
77	0.9936613499	0.1410540945
78	0.9937370793	0.1390775423
79	0.9936888878	0.1373715812
80	0.9939141091	0.1344047865
81	0.9940704854	0.1319470445
82	0.9942996406	0.1296759798
83	0.9943822545	0.1277037276
84	0.9943960235	0.1259139438
85	0.994385205	0.1241089393
86	0.9943704525	0.1225444729
87	0.99439504	0.1206902953
88	0.9945051919	0.1189325801
89	0.9945769873	0.1175089375
90	0.9945278124	0.1161794489
91	0.9944806044	0.114896409
92	0.9945484658	0.11356962
93	0.9945376474	0.1120792989
94	0.9946163273	0.1104258885
95	0.9946241953	0.1090546082
96	0.9947127101	0.1071657598
97	0.9947068092	0.1059093727
98	0.994828763	0.1040636203
99	0.9948395815	0.1024912318
100	0.9949546509	0.1008092017
101	0.9950559512	0.09928761578
102	0.9951415157	0.09791991709
103	0.9951523341	0.09668865733
104	0.9951582351	0.09551513283
105	0.995252651	0.09417368114
106	0.995295925	0.09286040127
107	0.9953155949	0.09180419432
108	0.9953500174	0.09073957536
109	0.9953893574	0.08969180206
110	0.9955093442	0.08791752614
111	0.9955427832	0.08682188762
112	0.9955604862	0.0854915532
113	0.9955860571	0.08451070972
114	0.995680473	0.0832328028
115	0.9957011265	0.08226026686
116	0.9957286645	0.08126011582
117	0.9957493179	0.08042639589
118	0.9958250474	0.07929502256
119	0.9959263477	0.07792801818
120	0.9959961762	0.07706923754
121	0.9960246976	0.07617672964
122	0.9960551861	0.07514088578
123	0.9960738726	0.07416107717
124	0.996127965	0.07329718342
125	0.9962509024	0.07196656074
126	0.9963433513	0.07048570832
127	0.9963876087	0.0695666438
128	0.9963964602	0.06878023522
129	0.9964053117	0.06779456661
130	0.9964692391	0.06695251619
131	0.9965193975	0.06600802565
132	0.99655382	0.06522697237
133	0.9966305329	0.0642047313
134	0.9967229818	0.06308010461
135	0.9967760907	0.06222536599
136	0.9967878927	0.06159919917
137	0.9968793581	0.06063322725
138	0.9969127971	0.05989605549
139	0.9969786915	0.05910159483
140	0.9969885265	0.05859908802
141	0.9970760579	0.05777184908
142	0.9971173649	0.05713295761
143	0.9971665398	0.05634022469
144	0.9972412857	0.05544712429
145	0.9972825927	0.05469102213
146	0.9972953781	0.05402298626
147	0.9973425861	0.0533897887
148	0.9974104475	0.05245093519
149	0.997437002	0.05188811063
150	0.9974743749	0.0511478687
151	0.9975304344	0.05034039129
152	0.9975461704	0.04972181026
153	0.9975825598	0.04910663216
154	0.9976061638	0.04840817396
155	0.9976573057	0.04773664831
156	0.9977172992	0.04699076763
157	0.9977153322	0.04658332702
158	0.9977418866	0.0460118178
159	0.9978107315	0.0450855911
160	0.9978461375	0.04440143541
161	0.9978736755	0.04386096268
162	0.997892362	0.04343132976
163	0.9979130154	0.04288602412
164	0.9979130154	0.04245185785
165	0.9979267844	0.04195463304
166	0.9979287514	0.0414791971
167	0.9979474379	0.04103920941
168	0.9979572729	0.0406688253
169	0.9979543224	0.04019187618
170	0.9980182498	0.03956579904
171	0.9980585733	0.03900767836
172	0.9980949627	0.03842771162
173	0.9981343027	0.0378919364
174	0.9981362697	0.03756999706
175	0.9981441377	0.03717525748
176	0.9982060981	0.03645918785
177	0.9982238011	0.03596939758
178	0.9982247846	0.03566451341
179	0.998265108	0.0352594819
180	0.99827691	0.03493096962
181	0.9982798605	0.03456632292
182	0.99831625	0.03415469123
183	0.9983251014	0.033796045
184	0.9983319859	0.0334329892
185	0.9983703424	0.03300409814
186	0.9983644414	0.03270463806
187	0.9983762434	0.03230784801
188	0.9983811609	0.03201057277
189	0.9983870619	0.0316317681
190	0.9984057484	0.03133700742
191	0.9984293523	0.03104563633
192	0.9984382038	0.03063384667
193	0.9984372203	0.03033936658
194	0.9984736098	0.02993869658
195	0.9984962302	0.02958986011
196	0.9985021312	0.02931177157
197	0.9985090157	0.02898282919
198	0.9985257352	0.02871390998
199	0.9985306527	0.02842854868
200	0.9985650752	0.02805825031
201	0.9985847451	0.02769747296
202	0.9985926131	0.02734714261
203	0.9986063821	0.02707899581
204	0.9986260521	0.026698683
205	0.9986280191	0.02647562773
206	0.9986437551	0.02614561204
207	0.9986516231	0.02577031892
208	0.9986683425	0.02550746337
209	0.998675227	0.02526872165
210	0.99869293	0.02495431721
211	0.998708666	0.0247343312
212	0.998734237	0.02438876798
213	0.9987312865	0.02420507704
214	0.9987371875	0.02397233359
215	0.9987529235	0.02358358204
216	0.9987657089	0.02334165511
217	0.9987784944	0.02311892564
218	0.9987784944	0.02292727105
219	0.9988001314	0.02271623761
220	0.9988070159	0.02250483253
221	0.9988178344	0.02224941051
222	0.9988257024	0.02204784181
223	0.9988345539	0.02182249757
224	0.9988463558	0.02152851296
225	0.9988611083	0.02130956141
226	0.9988670093	0.02115596083
227	0.9988699598	0.02098017043
228	0.9988876628	0.02075345261
229	0.9989024153	0.0205600388
230	0.9988935638	0.02039432146
231	0.9989033988	0.02023454332
232	0.9989191348	0.02006255182
233	0.9989181513	0.01977234644
234	0.9989220853	0.0195650776
235	0.9989309367	0.01935830844
236	0.9989299532	0.01922667482
237	0.9989358542	0.01904612242
238	0.9989397882	0.01882350803
239	0.9989535572	0.01858322264
240	0.9989525737	0.01845884887
241	0.9989673262	0.01829419798
242	0.9989879797	0.01806164842
243	0.9989919137	0.01791361025
244	0.9989958477	0.01778179928
245	0.9989997817	0.01767244755
246	0.9990086332	0.01749099967
247	0.9990066662	0.01737197451
248	0.9990233856	0.01713921829
249	0.9990273196	0.01698403995
250	0.9990283031	0.01686455046
251	0.9990401051	0.01673598298
252	0.9990410886	0.01658308865
253	0.9990469896	0.0164100307
254	0.9990578081	0.01623781476
255	0.9990686266	0.01605036574
256	0.9990774781	0.01587019524
257	0.9990676431	0.01575072812
258	0.9990735441	0.01562062665
259	0.9990853461	0.01540334683
260	0.999103049	0.01521999601
261	0.9991079665	0.01509012872
262	0.999126653	0.01490161958
263	0.9991296035	0.0147530419
264	0.99912862	0.014597826
265	0.999134521	0.0144221281
266	0.999150257	0.01425541211
267	0.999152224	0.01413359524
268	0.9991512405	0.01401634944
269	0.9991571415	0.01391249995
270	0.9991689435	0.01375664092
271	0.999175828	0.01360092385
272	0.9991807455	0.01347138834
273	0.9991876299	0.01337522952
274	0.9991846794	0.01328698921
275	0.9991954979	0.01315276192
276	0.9991974649	0.01307551788
277	0.9992013989	0.01290866567
278	0.9992053329	0.01279617286
279	0.9992191019	0.01268943668
280	0.9992141844	0.01259234776
281	0.9992161514	0.01248258241
282	0.9992220524	0.01238130742
283	0.9992259864	0.01228829304
284	0.9992250029	0.01218751721
285	0.9992230359	0.01209759122
286	0.9992279534	0.01198667979
287	0.9992328709	0.0119073159
288	0.9992368049	0.01178887938
289	0.9992427059	0.01170779878
290	0.9992427059	0.01162623367
291	0.9992456564	0.01155879945
292	0.9992495904	0.01147866323
293	0.9992564749	0.01137387274
294	0.9992633594	0.01127400638
295	0.9992604089	0.01119944566
296	0.9992643429	0.01108202606
297	0.9992672934	0.01101520547
298	0.9992702438	0.01092094243
299	0.9992781118	0.01082241455
300	0.9992830293	0.01073783598
301	0.9992790953	0.01066043904
302	0.9992879468	0.0105601999
303	0.9992879468	0.01049989656
304	0.9992938478	0.01044280881
305	0.9992997488	0.01034278769
306	0.9993017158	0.01027155152
307	0.9993056498	0.01016526121
308	0.9993095838	0.01006042601
309	0.9993115508	0.01000037033
310	0.9993145013	0.009929203131
311	0.9993233528	0.009879047289
312	0.9993253198	0.009795003912
313	0.9993243363	0.009732156428
314	0.9993361383	0.009621411325
315	0.9993420393	0.009557870294
316	0.9993469568	0.009478113819
317	0.9993508908	0.00943073319
318	0.9993518743	0.009381935276
319	0.9993518743	0.009320230422
320	0.9993597422	0.009239618691
321	0.9993607257	0.009189897557
322	0.9993587587	0.00913977265
323	0.9993597422	0.00908975498
324	0.9993666267	0.009013232715
325	0.9993695772	0.008957570448
326	0.9993735112	0.008891539597
327	0.9993774452	0.008837021901
328	0.9993843297	0.008787590438
329	0.9993892472	0.008730315497
330	0.9993892472	0.008663815714
331	0.9993892472	0.008613746315
332	0.9993912142	0.008572828058
333	0.9993931812	0.00851301497
334	0.9993961317	0.008471490717
335	0.9994010492	0.008389758401
336	0.9994049832	0.008310334458
337	0.9994118677	0.008253873028
338	0.9994148182	0.008197845476
339	0.9994197357	0.008148595546
340	0.9994197357	0.008077172294
341	0.9994187522	0.008028255079
342	0.9994187522	0.007998698441
343	0.9994285872	0.007923841427
344	0.9994295707	0.007882233559
345	0.9994325212	0.00784169645
346	0.9994325212	0.007796616995
347	0.9994423561	0.007745536619
348	0.9994482571	0.007686284636
349	0.9994512076	0.007607429047
350	0.9994502241	0.007552236311
351	0.9994531746	0.007484456919
352	0.9994551416	0.007438946473
353	0.9994571086	0.007410784409
354	0.9994551416	0.007373337683
355	0.9994610426	0.007326835449
356	0.9994620261	0.007291938383
357	0.9994620261	0.007247397945
358	0.9994580921	0.007215775064
359	0.9994639931	0.007185580788
360	0.9994669436	0.007149996361
361	0.9994669436	0.007118931943
362	0.9994708776	0.007076632772
363	0.9994748116	0.007039962924
364	0.9994728446	0.007001763848
365	0.9994728446	0.006965296593
366	0.9994787456	0.006934465515
367	0.9994846466	0.006882472694
368	0.9994866136	0.00681521805
369	0.9994905476	0.006789334052
370	0.9994875971	0.006761465101
371	0.9994925146	0.006705401308
372	0.9994984156	0.006653908571
373	0.9994944816	0.006623985385
374	0.9994984156	0.006592011985
375	0.9994964486	0.006560470263
376	0.9994984156	0.006543535069
377	0.9995013661	0.006509295069
378	0.9995023496	0.006475654312
379	0.9995043166	0.006435933008
380	0.9995082506	0.006391697592
381	0.9995092341	0.006326910467
382	0.9995102176	0.006273436548
383	0.9995121846	0.006242067107
384	0.9995102176	0.006205139187
385	0.9995131681	0.006163540123
386	0.9995131681	0.006141185335
387	0.9995151351	0.006099706345
388	0.9995210361	0.006074186658
389	0.9995210361	0.006050062512
390	0.9995249701	0.006030436184
391	0.9995279205	0.006011165363
392	0.9995318545	0.005981817793
393	0.9995377555	0.005942942311
394	0.9995397225	0.005910900495
395	0.9995416895	0.005877857898
396	0.999542673	0.00585292872
397	0.9995495575	0.005812379398
398	0.9995475905	0.005778949095
399	0.9995534915	0.005736012871
400	0.9995554585	0.005716523139
401	0.9995554585	0.005672610526
402	0.9995554585	0.005650401805
403	0.999554475	0.005633772687
404	0.9995554585	0.005600518127
405	0.999560376	0.005566399184
406	0.999560376	0.00553479776
407	0.999566277	0.005503332152
408	0.9995672605	0.005476026452
409	0.9995711945	0.005446162824
410	0.999566277	0.005421373494
411	0.999572178	0.005391966759
412	0.999570211	0.005370150294
413	0.9995711945	0.005346283956
414	0.999572178	0.005335746426
415	0.9995731615	0.005319503743
416	0.999576112	0.005284132864
417	0.9995790625	0.005255834546
418	0.999580046	0.005235601075
419	0.99958398	0.005196664118
420	0.99958398	0.005170623983
421	0.99958398	0.005153797026
422	0.9995869305	0.005119693903
423	0.999587914	0.005101971718
424	0.9995888975	0.005066342347
425	0.9995888975	0.005052038015
426	0.9995908645	0.005033036424
427	0.999593815	0.005006396319
428	0.9995928315	0.00499237734
429	0.9995947985	0.004961722442
430	0.9995967655	0.00493202383
431	0.999597749	0.004914501383
432	0.9996006995	0.00487252164
433	0.9995987325	0.004845594201
434	0.999601683	0.004830721591
435	0.9996026665	0.004813022455
436	0.9996046335	0.004784449543
437	0.999607584	0.004765512302
438	0.999607584	0.00475443841
439	0.999607584	0.004731202826
440	0.999607584	0.004705505952
441	0.9996105345	0.004675785079
442	0.9996105345	0.004654331562
443	0.9996134849	0.004628676186
444	0.9996134849	0.004615525574
445	0.9996164354	0.004593064491
446	0.9996174189	0.004577872085
447	0.9996184024	0.004556850124
448	0.9996203694	0.004526089395
449	0.9996223364	0.004502869525
450	0.9996243034	0.004480323718
451	0.9996243034	0.004465656519
452	0.9996233199	0.004450716436
453	0.9996233199	0.004431830445
454	0.9996213529	0.004422072926
455	0.9996213529	0.004407647989
456	0.9996223364	0.004382448906
457	0.9996223364	0.004366908913
458	0.9996213529	0.00435198533
459	0.9996233199	0.004333478132
460	0.9996223364	0.004319333209
461	0.9996233199	0.004295408541
462	0.9996262704	0.004276317738
463	0.9996282374	0.004255025482
464	0.9996302044	0.004242734742
465	0.9996282374	0.004217840464
466	0.9996282374	0.004194732666
467	0.9996302044	0.004174935537
468	0.9996311879	0.004164137733
469	0.9996321714	0.004145468287
470	0.9996321714	0.004134130094
471	0.9996351219	0.004121757958
472	0.9996341384	0.004106912281
473	0.9996370889	0.004085784145
474	0.9996370889	0.004071420749
475	0.9996380724	0.004049903209
476	0.9996410229	0.004024067935
477	0.9996420064	0.004003520398
478	0.9996410229	0.003992461845
479	0.9996439734	0.003979546495
480	0.9996429899	0.003960636363
481	0.9996429899	0.003952620326
482	0.9996449569	0.003941156952
483	0.9996439734	0.003926055247
484	0.9996469239	0.003915608728
485	0.9996508579	0.003895258452
486	0.9996528249	0.003885613072
487	0.9996528249	0.003863508676
488	0.9996547919	0.003853958729
489	0.9996567589	0.003844670492
490	0.9996567589	0.003832227317
491	0.9996577424	0.003820013781
492	0.9996577424	0.003803405269
493	0.9996557754	0.003788384669
494	0.9996597094	0.003770269553
495	0.9996616764	0.003750009485
496	0.9996626599	0.003738525015
497	0.9996616764	0.003723359405
498	0.9996646269	0.003710517505
499	0.9996675774	0.003701952402
500	0.9996695444	0.003683583127
501	0.9996685609	0.003673280443
502	0.9996685609	0.00365275046
503	0.9996695444	0.0036381741
504	0.9996705279	0.003617845362
505	0.9996715114	0.003608333048
506	0.9996724949	0.00359887896
507	0.9996744619	0.003579844987
508	0.9996744619	0.003568207859
509	0.9996774124	0.0035479852
510	0.9996803629	0.003534491051
511	0.9996813464	0.003522138521
512	0.9996793794	0.003509436385
513	0.9996842969	0.003499644437
514	0.9996842969	0.003489415959
515	0.9996852804	0.003482662894
516	0.9996872474	0.003461076106
517	0.9996872474	0.003449014159
518	0.9996882309	0.003438432365
519	0.9996882309	0.003423116963
520	0.9996901979	0.003407555402
521	0.9996901979	0.003392217246
522	0.9996882309	0.003380109367
523	0.9996941319	0.003359945878
524	0.9996951154	0.003353485011
525	0.9996970824	0.003340741823
526	0.9996970824	0.003332141469
527	0.9996980659	0.003318741835
528	0.9996980659	0.003306009584
529	0.9996980659	0.003294442341
530	0.9996980659	0.003277371216
531	0.9996980659	0.003269308983
532	0.9996980659	0.003257885552
533	0.9996970824	0.003247418404
534	0.9996980659	0.003240406356
535	0.9997019998	0.003228824796
536	0.9997010163	0.003222230095
537	0.9997010163	0.003210535852
538	0.9997029833	0.003196338243
539	0.9997010163	0.003185004913
540	0.9997000328	0.003177972007
541	0.9997000328	0.003166666159
542	0.9997029833	0.003150085982
543	0.9997049503	0.003143409545
544	0.9997059338	0.003133102468
545	0.9997079008	0.003122984552
546	0.9997088843	0.003115858565
547	0.9997108513	0.003103924259
548	0.9997098678	0.003095049356
549	0.9997098678	0.003082299682
550	0.9997108513	0.003068275922
551	0.9997108513	0.003054021133
552	0.9997108513	0.003044754186
553	0.9997128183	0.003037005618
554	0.9997128183	0.003022134312
555	0.9997167523	0.003011759822
556	0.9997197028	0.003005062378
557	0.9997216698	0.002986608039
558	0.9997216698	0.002979154059
559	0.9997197028	0.00297195336
560	0.9997206863	0.002960243986
561	0.9997197028	0.002951798874
562	0.9997197028	0.002943431758
563	0.9997187193	0.002936195423
564	0.9997206863	0.002928284303
565	0.9997236368	0.002913692773
566	0.9997265873	0.002903711419
567	0.9997265873	0.002895304458
568	0.9997275708	0.002882434466
569	0.9997285543	0.002867619584
570	0.9997275708	0.002860303346
571	0.9997295378	0.002847338493
572	0.9997315048	0.002839069426
573	0.9997344553	0.002815279637
574	0.9997354388	0.002807123405
575	0.9997364223	0.002802758288
576	0.9997344553	0.002789788233
577	0.9997364223	0.002782856811
578	0.9997383893	0.002767363513
579	0.9997383893	0.002756671905
580	0.9997403563	0.002749288825
581	0.9997423233	0.002741318271
582	0.9997403563	0.002731589801
583	0.9997423233	0.002724979699
584	0.9997442903	0.002717956753
585	0.9997442903	0.002714022452
586	0.9997442903	0.00270405765
587	0.9997442903	0.002698168611
588	0.9997452738	0.002692086163
589	0.9997492078	0.002681543274
590	0.9997541253	0.002675784637
591	0.9997531418	0.002669093152
592	0.9997541253	0.002663151378
593	0.9997551088	0.002655841395
594	0.9997551088	0.002649402416
595	0.9997541253	0.002644761661
596	0.9997551088	0.00263782299
597	0.9997580593	0.002618732596
598	0.9997590428	0.002611096286
599	0.9997610098	0.002603480468
600	0.9997600263	0.002595558392
601	0.9997619933	0.002585564191
602	0.9997619933	0.002577946559
603	0.9997629768	0.002567716231
604	0.9997619933	0.002556615067
605	0.9997619933	0.002549421909
606	0.9997610098	0.0025418453
607	0.9997619933	0.002536856199
608	0.9997629768	0.002528962574
609	0.9997639603	0.00252213066
610	0.9997639603	0.002511438548
611	0.9997669108	0.002503610317
612	0.9997708448	0.002495227582
613	0.9997718283	0.002486771784
614	0.9997708448	0.002480757567
615	0.9997708448	0.002475480967
616	0.9997708448	0.002470355442
617	0.9997718283	0.002465263931
618	0.9997708448	0.002454878651
619	0.9997737953	0.002435959738
620	0.9997747788	0.002426894618
621	0.9997757623	0.002419148012
622	0.9997757623	0.00241316636
623	0.9997747788	0.00240663572
624	0.9997767458	0.002399482979
625	0.9997767458	0.002392242493
626	0.9997777293	0.00238872608
627	0.9997796963	0.002380368083
628	0.9997806798	0.002374803753
629	0.9997816633	0.002370513341
630	0.9997806798	0.002361792575
631	0.9997826468	0.002354061854
632	0.9997846138	0.002345880018
633	0.9997855972	0.002332704071
634	0.9997865807	0.002325953549
635	0.9997885477	0.002318940663
636	0.9997885477	0.002313381059
637	0.9997885477	0.002306239812
638	0.9997885477	0.002297320349
639	0.9997895312	0.002285105595
640	0.9997885477	0.002276849695
641	0.9997905147	0.00226908971
642	0.9997924817	0.002261997235
643	0.9997934652	0.002256103436
644	0.9997934652	0.002252585422
645	0.9997944487	0.002242602972
646	0.9997964157	0.002234488551
647	0.9997954322	0.002230686747
648	0.9997964157	0.002224280255
649	0.9997964157	0.002220766117
650	0.9997964157	0.002214568021
651	0.9997973992	0.002208582324
652	0.9997983827	0.002204524153
653	0.9997973992	0.002198610661
654	0.9997973992	0.002188742484
655	0.9997983827	0.002182561748
656	0.9998003497	0.00217562487
657	0.9998003497	0.002165324186
658	0.9998003497	0.002161989301
659	0.9997983827	0.002156699385
660	0.9998003497	0.002151539983
661	0.9998023167	0.002144491093
662	0.9998023167	0.002140041172
663	0.9998023167	0.002133313158
664	0.9998023167	0.002127926493
665	0.9998023167	0.002120394316
666	0.9998013332	0.002111949339
667	0.9998013332	0.002107311721
668	0.9998013332	0.002102694187
669	0.9998042837	0.002095050576
670	0.9998052672	0.002091699364
671	0.9998052672	0.002087036953
672	0.9998062507	0.002082566821
673	0.9998062507	0.002079255555
674	0.9998082177	0.002073980909
675	0.9998072342	0.002070288517
676	0.9998082177	0.002066214542
677	0.9998101847	0.002063318302
678	0.9998101847	0.002058463682
679	0.9998111682	0.002051631799
680	0.9998111682	0.002047244045
681	0.9998111682	0.002041596427
682	0.9998092012	0.002039232183
683	0.9998111682	0.002030100012
684	0.9998111682	0.002023090597
685	0.9998121517	0.002013025454
686	0.9998121517	0.002009184836
687	0.9998141187	0.002003774933
688	0.9998151022	0.001999063161
689	0.9998141187	0.001991103875
690	0.9998151022	0.001987071851
691	0.9998151022	0.001981837012
692	0.9998160857	0.00197616756
693	0.9998160857	0.001969622971
694	0.9998170692	0.001963826796
695	0.9998170692	0.001957730085
696	0.9998180527	0.001952100875
697	0.9998180527	0.001947475768
698	0.9998180527	0.001943277727
699	0.9998190362	0.00193943899
700	0.9998180527	0.001934704326
701	0.9998200197	0.001928586942
702	0.9998170692	0.001924749537
703	0.9998190362	0.001918626914
704	0.9998180527	0.001915433487
705	0.9998180527	0.001908883801
706	0.9998210032	0.001903420975
707	0.9998210032	0.001899827059
708	0.9998239537	0.001895465431
709	0.9998249372	0.00189145808
710	0.9998269042	0.001887069089
711	0.9998269042	0.001883230895
712	0.9998288712	0.001877771422
713	0.9998278877	0.001874127914
714	0.9998278877	0.001868868532
715	0.9998269042	0.001864944491
716	0.9998298547	0.001860627842
717	0.9998308382	0.001855554055
718	0.9998318217	0.001850731982
719	0.9998328052	0.001846796304
720	0.9998328052	0.001842574794
721	0.9998337887	0.001838140706
722	0.9998347722	0.001831963354
723	0.9998347722	0.001826055835
724	0.9998347722	0.001821276254
725	0.9998347722	0.001815570846
726	0.9998337887	0.001807631963
727	0.9998357557	0.001801800619
728	0.9998357557	0.001796790157
729	0.9998357557	0.001789642821
730	0.9998377227	0.001783839195
731	0.9998367392	0.001781189148
732	0.9998367392	0.001775150381
733	0.9998367392	0.001767278816
734	0.9998377227	0.001761484377
735	0.9998377227	0.001757601534
736	0.9998377227	0.001752663957
737	0.9998377227	0.001748982574
738	0.9998387062	0.001745455139
739	0.9998387062	0.001740569737
740	0.9998387062	0.001736189892
741	0.9998387062	0.001732701604
742	0.9998387062	0.001728389455
743	0.9998406732	0.001723787909
744	0.9998406732	0.001714837508
745	0.9998406732	0.001711899806
746	0.9998426402	0.001707760907
747	0.9998426402	0.001701265758
748	0.9998426402	0.001697909528
749	0.9998436237	0.00169374993
750	0.9998426402	0.00168979243
751	0.9998426402	0.001686028788
752	0.9998426402	0.001681310147
753	0.9998426402	0.001676649201
754	0.9998426402	0.001671526667
755	0.9998446072	0.001666664772
756	0.9998436237	0.001661851541
757	0.9998436237	0.001661848667
758	0.9998446072	0.001656359263
759	0.9998446072	0.001651154102
760	0.9998446072	0.00164626888
761	0.9998446072	0.001642486705
762	0.9998446072	0.001639213441
763	0.9998446072	0.001634518884
764	0.9998446072	0.001630698469
765	0.9998436237	0.001624709235
766	0.9998455907	0.001620243404
767	0.9998455907	0.001612595905
768	0.9998455907	0.001612584689
769	0.9998455907	0.001609779445
770	0.9998475577	0.001606360263
771	0.9998495247	0.001601614117
772	0.9998495247	0.001601614117
773	0.9998495247	0.001595911403
774	0.9998505082	0.001592628142
775	0.9998524752	0.001588570269
776	0.9998534587	0.001585568904
777	0.9998534587	0.001579892865
778	0.9998534587	0.001576556624
779	0.9998544422	0.001573035013
780	0.9998544422	0.001568176621
781	0.9998524752	0.00156439769
782	0.9998514917	0.001561068091
783	0.9998534587	0.001556620986
784	0.9998544422	0.00155354175
785	0.9998544422	0.001553536758
786	0.9998544422	0.001553536758
787	0.9998544422	0.001553534222
788	0.9998564092	0.001549224715
789	0.9998564092	0.001543460705
790	0.9998564092	0.001538398428
791	0.9998564092	0.001538398428
792	0.9998583762	0.001534179626
793	0.9998583762	0.001529761081
794	0.9998583762	0.001529755816
795	0.9998583762	0.001525497117
796	0.9998583762	0.001521964384
797	0.9998583762	0.001521958665
798	0.9998583762	0.001517865864
799	0.9998583762	0.001514637895
