iter	Passed	Remaining
0	492	393800
1	835	333355
2	1179	313279
3	1583	315202
4	1954	310809
5	2282	302093
6	2597	294210
7	2895	286683
8	3198	281139
9	3502	276674
10	3817	273785
11	4084	268231
12	4395	266094
13	4680	262766
14	4977	260514
15	5284	258935
16	5594	257659
17	5885	255710
18	6192	254545
19	6442	251264
20	6698	248471
21	6994	247338
22	7256	245131
23	7543	243917
24	7812	242176
25	8132	242105
26	8376	239817
27	8657	238698
28	8910	236899
29	9183	235721
30	9426	233848
31	9648	231555
32	9905	230233
33	10209	230006
34	10508	229683
35	10764	228451
36	11011	227073
37	11282	226246
38	11555	225476
39	11818	224546
40	12094	223887
41	12403	223846
42	12692	223439
43	12943	222396
44	13187	221251
45	13449	220460
46	13694	219409
47	13985	219100
48	14255	218483
49	14499	217494
50	14765	216847
51	15014	215984
52	15271	215238
53	15560	214967
54	15833	214465
55	16099	213895
56	16344	213049
57	16601	212382
58	16864	211803
59	17117	211117
60	17388	210657
61	17684	210502
62	17940	209870
63	18209	209412
64	18464	208795
65	18743	208452
66	19027	208165
67	19284	207591
68	19540	207014
69	19806	206552
70	20081	206186
71	20348	205745
72	20626	205421
73	20921	205258
74	21186	204803
75	21445	204297
76	21677	203544
77	21945	203140
78	22202	202635
79	22444	202002
80	22737	201834
81	23013	201508
82	23278	201090
83	23555	200778
84	23804	200234
85	24054	199709
86	24327	199370
87	24583	198905
88	24859	198593
89	25096	197984
90	25342	197450
91	25603	197033
92	25856	196563
93	26109	196101
94	26381	195775
95	26628	195278
96	26900	194957
97	27167	194610
98	27434	194257
99	27699	193897
100	27968	193562
101	28240	193250
102	28502	192877
103	28759	192465
104	29005	191987
105	29244	191467
106	29508	191117
107	29776	190790
108	30029	190372
109	30281	189949
110	30571	189762
111	30807	189248
112	31078	188947
113	31327	188511
114	31577	188091
115	31834	187712
116	32110	187447
117	32328	186845
118	32592	186514
119	32881	186330
120	33119	185853
121	33378	185498
122	33638	185149
123	33881	184708
124	34159	184460
125	34436	184205
126	34735	184069
127	34991	183707
128	35237	183289
129	35494	182931
130	35726	182450
131	35996	182163
132	36284	181967
133	36556	181693
134	36880	181671
135	37159	181426
136	37414	181062
137	37695	180828
138	37946	180450
139	38200	180087
140	38433	179627
141	38685	179260
142	38950	178954
143	39210	178623
144	39469	178293
145	39718	177916
146	39979	177596
147	40245	177298
148	40530	177080
149	40791	176762
150	41069	176515
151	41333	176211
152	41589	175872
153	41875	175661
154	42176	175507
155	42466	175309
156	42751	175090
157	42973	174615
158	43249	174358
159	43576	174307
160	43866	174102
161	44132	173805
162	44400	173516
163	44646	173142
164	44900	172799
165	45160	172482
166	45432	172207
167	45688	171875
168	45919	171449
169	46183	171150
170	46479	170967
171	46786	170823
172	47056	170544
173	47317	170233
174	47565	169877
175	47823	169555
176	48089	169263
177	48365	169006
178	48606	168627
179	48858	168291
180	49113	167963
181	49370	167642
182	49659	167429
183	49917	167116
184	50158	166744
185	50414	166422
186	50671	166104
187	50948	165855
188	51199	165516
189	51473	165255
190	51728	164936
191	51963	164550
192	52221	164241
193	52482	163939
194	52758	163685
195	53042	163457
196	53294	163129
197	53543	162794
198	53813	162521
199	54078	162235
200	54337	161930
201	54586	161597
202	54864	161351
203	55122	161042
204	55405	160812
205	55649	160464
206	55931	160229
207	56203	159964
208	56466	159673
209	56720	159357
210	57010	159143
211	57259	158814
212	57520	158520
213	57751	158141
214	57998	157810
215	58294	157609
216	58556	157319
217	58831	157063
218	59085	156750
219	59347	156461
220	59631	156228
221	59896	155947
222	60162	155666
223	60419	155363
224	60686	155086
225	60946	154794
226	61189	154456
227	61435	154127
228	61688	153817
229	61964	153565
230	62243	153319
231	62492	152999
232	62758	152720
233	63073	152563
234	63323	152245
235	63599	151991
236	63857	151696
237	64113	151395
238	64382	151122
239	64663	150881
240	64890	150512
241	65153	150229
242	65417	149948
243	65639	149571
244	65904	149293
245	66152	148978
246	66410	148684
247	66642	148334
248	66918	148080
249	67193	147826
250	67462	147557
251	67685	147188
252	67964	146942
253	68226	146660
254	68521	146446
255	68808	146217
256	69076	145946
257	69315	145616
258	69571	145320
259	69838	145048
260	70156	144882
261	70413	144588
262	70730	144419
263	70997	144145
264	71288	143921
265	71578	143696
266	71873	143477
267	72132	143188
268	72409	142934
269	72662	142634
270	72945	142391
271	73245	142182
272	73539	141960
273	73835	141743
274	74100	141465
275	74403	141259
276	74661	140966
277	74973	140777
278	75231	140485
279	75485	140187
280	75764	139935
281	76065	139722
282	76370	139517
283	76638	139244
284	76912	138982
285	77180	138708
286	77466	138467
287	77713	138156
288	77991	137902
289	78254	137619
290	78498	137305
291	78723	136957
292	78981	136668
293	79229	136360
294	79478	136057
295	79724	135747
